date,start_time,points_mean,mode,saturation
2017-04-26,10:03:00,0,5,0.0
2017-04-26,10:03:30,0,5,0.0
2017-04-26,10:04:00,0,5,0.0
2017-04-26,10:04:30,0,5,0.0
2017-04-26,10:05:00,0,5,0.0
2017-04-26,10:05:30,0,5,0.0
2017-04-26,10:06:00,0,6,0.0
2017-04-26,10:06:30,0,6,0.0
2017-04-26,10:07:00,0,7,0.0
2017-04-26,10:07:30,0,7,0.0
2017-04-26,10:08:00,0,1,0.0
2017-04-26,10:08:30,0,1,0.0
2017-04-26,10:09:00,0,2,0.0
2017-04-26,10:09:30,0,2,0.0
2017-04-26,10:10:00,0,3,0.0
2017-04-26,10:10:30,0,3,0.0
2017-04-26,10:11:00,0,4,0.0
2017-04-26,10:11:30,0,4,0.0
2017-04-26,10:12:00,0,5,0.0
2017-04-26,10:12:30,0,5,0.0
2017-04-26,10:13:00,0,6,0.0
2017-04-26,10:13:30,0,6,0.0
2017-04-26,10:14:00,36,7,0.001854140914709518
2017-04-26,10:14:30,8969,7,0.46193860733415737
2017-04-26,10:15:00,1949,6,0.1003811289658014
2017-04-26,10:15:30,0,6,0.0
2017-04-26,10:16:00,0,6,0.0
2017-04-26,10:16:30,0,6,0.0
2017-04-26,10:17:00,0,6,0.0
2017-04-26,10:17:30,3654,6,0.18819530284301608
2017-04-26,10:18:00,10379,6,0.5345591264936135
2017-04-26,10:18:30,10695,1,0.5508343634116193
2017-04-26,10:19:00,15291,5,0.7875463535228677
2017-04-26,10:19:30,8194,5,0.42202307375360526
2017-04-26,10:20:00,0,5,0.0
2017-04-26,10:20:30,0,5,0.0
2017-04-26,10:21:00,0,5,0.0
2017-04-26,10:21:30,0,5,0.0
2017-04-26,10:22:00,35,5,0.0018026370004120312
2017-04-26,10:22:30,53,5,0.0027297074577667902
2017-04-26,10:23:00,57,5,0.0029357231149567367
2017-04-26,10:23:30,771,5,0.03970951792336218
2017-04-26,10:24:00,376,5,0.019365471775854966
2017-04-26,10:24:30,502,5,0.025854964977338277
2017-04-26,10:25:00,328,6,0.016893283889575606
2017-04-26,10:25:30,0,6,0.0
2017-04-26,10:26:00,0,7,0.0
2017-04-26,10:26:30,0,7,0.0
2017-04-26,10:27:00,0,1,0.0
2017-04-26,10:27:30,0,1,0.0
