date,start_time,points_mean,mode,saturation
2017-05-24,15:50:00,0,1,0.0
2017-05-24,15:50:30,0,2,0.0
2017-05-24,15:51:00,0,2,0.0
2017-05-24,15:51:30,0,3,0.0
2017-05-24,15:52:00,0,3,0.0
2017-05-24,15:52:30,0,4,0.0
2017-05-24,15:53:00,0,4,0.0
2017-05-24,15:53:30,0,5,0.0
2017-05-24,15:54:00,0,5,0.0
2017-05-24,15:54:30,0,6,0.0
2017-05-24,15:55:00,0,6,0.0
2017-05-24,15:55:30,0,7,0.0
2017-05-24,15:56:00,0,7,0.0
2017-05-24,15:56:30,0,1,0.0
2017-05-24,15:57:00,0,1,0.0
2017-05-24,15:57:30,0,2,0.0
2017-05-24,15:58:00,0,2,0.0
2017-05-24,15:58:30,0,3,0.0
2017-05-24,15:59:00,0,3,0.0
2017-05-24,15:59:30,0,4,0.0
2017-05-24,16:00:00,0,4,0.0
2017-05-24,16:00:30,0,5,0.0
2017-05-24,16:01:00,0,5,0.0
2017-05-24,16:01:30,0,6,0.0
2017-05-24,16:02:00,0,6,0.0
2017-05-24,16:02:30,0,7,0.0
2017-05-24,16:03:00,0,7,0.0
2017-05-24,16:03:30,6586,1,0.011306593051921743
2017-05-24,16:04:00,1633,5,0.002803471979014304
2017-05-24,16:04:30,51979,5,0.0892355603167082
2017-05-24,16:05:00,9053,1,0.015541844351510407
2017-05-24,16:05:30,0,1,0.0
2017-05-24,16:06:00,0,1,0.0
2017-05-24,16:06:30,0,1,0.0
2017-05-24,16:07:00,0,1,0.0
2017-05-24,16:07:30,0,1,0.0
2017-05-24,16:08:00,0,1,0.0
2017-05-24,16:08:30,0,1,0.0
2017-05-24,16:09:00,0,1,0.0
2017-05-24,16:09:30,0,1,0.0
2017-05-24,16:10:00,0,1,0.0
2017-05-24,16:10:30,0,1,0.0
2017-05-24,16:11:00,0,2,0.0
2017-05-24,16:11:30,0,2,0.0
2017-05-24,16:12:00,0,3,0.0
2017-05-24,16:12:30,0,3,0.0
2017-05-24,16:13:00,0,4,0.0
2017-05-24,16:13:30,0,4,0.0
2017-05-24,16:14:00,0,5,0.0
2017-05-24,16:14:30,0,5,0.0
2017-05-24,16:15:00,0,6,0.0
2017-05-24,16:15:30,0,6,0.0
2017-05-24,16:16:00,0,7,0.0
2017-05-24,16:16:30,0,7,0.0
2017-05-24,16:17:00,0,1,0.0
2017-05-24,16:17:30,0,1,0.0
2017-05-24,16:18:00,0,2,0.0
2017-05-24,16:18:30,0,2,0.0
2017-05-24,16:19:00,0,3,0.0
2017-05-24,16:19:30,0,3,0.0
2017-05-24,16:20:00,0,4,0.0
2017-05-24,16:20:30,0,4,0.0
2017-05-24,16:21:00,0,5,0.0
2017-05-24,16:21:30,0,5,0.0
2017-05-24,16:22:00,0,6,0.0
2017-05-24,16:22:30,0,6,0.0
2017-05-24,16:23:00,0,7,0.0
2017-05-24,16:23:30,0,7,0.0
2017-05-24,16:24:00,0,1,0.0
2017-05-24,16:24:30,0,1,0.0
2017-05-24,16:25:00,0,2,0.0
2017-05-24,16:25:30,0,2,0.0
2017-05-24,16:26:00,0,3,0.0
2017-05-24,16:26:30,0,3,0.0
2017-05-24,16:27:00,0,4,0.0
2017-05-24,16:27:30,0,4,0.0
2017-05-24,16:28:00,0,5,0.0
2017-05-24,16:28:30,0,5,0.0
2017-05-24,16:29:00,0,6,0.0
2017-05-24,16:29:30,0,6,0.0
2017-05-24,16:30:00,0,7,0.0
2017-05-24,16:30:30,0,7,0.0
2017-05-24,16:31:00,0,1,0.0
2017-05-24,16:31:30,0,1,0.0
2017-05-24,16:32:00,0,2,0.0
2017-05-24,16:32:30,0,2,0.0
2017-05-24,16:33:00,0,3,0.0
2017-05-24,16:33:30,0,3,0.0
2017-05-24,16:34:00,0,4,0.0
2017-05-24,16:34:30,0,4,0.0
2017-05-24,16:35:00,74876,5,0.12854425468504288
2017-05-24,16:35:30,191434,5,0.3286465736868489
2017-05-24,16:36:00,38973,6,0.06690735666755938
2017-05-24,16:36:30,11537,8,0.019806280601278644
2017-05-24,16:37:00,10263,7,0.017619126099585918
2017-05-24,16:37:30,0,7,0.0
2017-05-24,16:38:00,0,7,0.0
2017-05-24,16:38:30,0,7,0.0
2017-05-24,16:39:00,0,7,0.0
2017-05-24,16:39:30,0,7,0.0
2017-05-24,16:40:00,0,7,0.0
2017-05-24,16:40:30,0,7,0.0
2017-05-24,16:41:00,0,7,0.0
2017-05-24,16:41:30,0,7,0.0
2017-05-24,16:42:00,0,7,0.0
2017-05-24,16:42:30,0,7,0.0
2017-05-24,16:43:00,0,1,0.0
2017-05-24,16:43:30,0,1,0.0
2017-05-24,16:44:00,0,2,0.0
2017-05-24,16:44:30,0,2,0.0
2017-05-24,16:45:00,0,3,0.0
2017-05-24,16:45:30,0,3,0.0
2017-05-24,16:46:00,0,4,0.0
2017-05-24,16:46:30,0,4,0.0
2017-05-24,16:47:00,0,5,0.0
2017-05-24,16:47:30,0,5,0.0
2017-05-24,16:48:00,0,6,0.0
2017-05-24,16:48:30,0,6,0.0
2017-05-24,16:49:00,0,7,0.0
2017-05-24,16:49:30,0,7,0.0
2017-05-24,16:50:00,0,1,0.0
2017-05-24,16:50:30,0,1,0.0
2017-05-24,16:51:00,11605,2,0.01992302040199694
2017-05-24,16:51:30,210643,2,0.36162385062799146
2017-05-24,16:52:00,45773,3,0.07858133673938869
2017-05-24,16:52:30,68093,1,0.11689945956339315
2017-05-24,16:53:00,45238,1,0.07766286918961977
2017-05-24,16:53:30,88270,5,0.15153856190299608
2017-05-24,16:54:00,40457,1,0.0694550311420586
2017-05-24,16:54:30,75288,5,0.12925156053645373
2017-05-24,16:55:00,52103,5,0.08944843877684157
2017-05-24,16:55:30,69534,1,0.1193733132815558
2017-05-24,16:56:00,55422,1,0.09514637110895943
2017-05-24,16:56:30,0,1,0.0
2017-05-24,16:57:00,0,1,0.0
2017-05-24,16:57:30,0,1,0.0
2017-05-24,16:58:00,0,1,0.0
2017-05-24,16:58:30,31053,1,0.05331060340742877
2017-05-24,16:59:00,67888,1,0.11654752339946299
2017-05-24,16:59:30,64971,1,0.11153972930100328
2017-05-24,17:00:00,72963,1,0.12526008940895325
2017-05-24,17:00:30,44507,1,0.07640791633189813
2017-05-24,17:01:00,34211,1,0.05873213709372833
2017-05-24,17:01:30,5876,1,0.010087692191480742
2017-05-24,17:02:00,0,1,0.0
2017-05-24,17:02:30,0,1,0.0
2017-05-24,17:03:00,0,1,0.0
2017-05-24,17:03:30,0,1,0.0
2017-05-24,17:04:00,0,1,0.0
2017-05-24,17:04:30,0,2,0.0
2017-05-24,17:05:00,0,2,0.0
2017-05-24,17:05:30,0,3,0.0
2017-05-24,17:06:00,0,3,0.0
2017-05-24,17:06:30,0,4,0.0
2017-05-24,17:07:00,0,4,0.0
2017-05-24,17:07:30,0,5,0.0
2017-05-24,17:08:00,0,5,0.0
2017-05-24,17:08:30,0,6,0.0
2017-05-24,17:09:00,0,6,0.0
2017-05-24,17:09:30,0,7,0.0
2017-05-24,17:10:00,0,7,0.0
2017-05-24,17:10:30,0,1,0.0
2017-05-24,17:11:00,0,1,0.0
2017-05-24,17:11:30,0,2,0.0
2017-05-24,17:12:00,0,2,0.0
2017-05-24,17:12:30,0,3,0.0
2017-05-24,17:13:00,0,3,0.0
2017-05-24,17:13:30,0,4,0.0
2017-05-24,17:14:00,0,4,0.0
2017-05-24,17:14:30,0,5,0.0
2017-05-24,17:15:00,0,5,0.0
2017-05-24,17:15:30,0,6,0.0
2017-05-24,17:16:00,0,6,0.0
2017-05-24,17:16:30,0,7,0.0
2017-05-24,17:17:00,0,7,0.0
2017-05-24,17:17:30,0,1,0.0
2017-05-24,17:18:00,0,1,0.0
2017-05-24,17:18:30,0,2,0.0
2017-05-24,17:19:00,0,2,0.0
2017-05-24,17:19:30,0,3,0.0
2017-05-24,17:20:00,0,3,0.0
2017-05-24,17:20:30,0,4,0.0
2017-05-24,17:21:00,0,4,0.0
2017-05-24,17:21:30,0,5,0.0
2017-05-24,17:22:00,40926,3,0.07026019241465978
2017-05-24,17:22:30,0,3,0.0
2017-05-24,17:23:00,0,3,0.0
2017-05-24,17:23:30,0,3,0.0
2017-05-24,17:24:00,0,3,0.0
2017-05-24,17:24:30,0,3,0.0
2017-05-24,17:25:00,0,3,0.0
2017-05-24,17:25:30,0,4,0.0
2017-05-24,17:26:00,0,4,0.0
2017-05-24,17:26:30,0,5,0.0
2017-05-24,17:27:00,0,5,0.0
2017-05-24,17:27:30,0,6,0.0
2017-05-24,17:28:00,0,6,0.0
2017-05-24,17:28:30,0,7,0.0
2017-05-24,17:29:00,0,7,0.0
2017-05-24,17:29:30,0,1,0.0
2017-05-24,17:30:00,0,1,0.0
2017-05-24,17:30:30,0,2,0.0
2017-05-24,17:31:00,0,2,0.0
2017-05-24,17:31:30,0,3,0.0
2017-05-24,17:32:00,0,3,0.0
2017-05-24,17:32:30,0,4,0.0
2017-05-24,17:33:00,0,4,0.0
2017-05-24,17:33:30,0,5,0.0
2017-05-24,17:34:00,0,5,0.0
2017-05-24,17:34:30,0,6,0.0
2017-05-24,17:35:00,0,6,0.0
2017-05-24,17:35:30,0,7,0.0
2017-05-24,17:36:00,0,7,0.0
2017-05-24,17:36:30,0,1,0.0
2017-05-24,17:37:00,0,1,0.0
2017-05-24,17:37:30,0,2,0.0
2017-05-24,17:38:00,0,2,0.0
2017-05-24,17:38:30,0,3,0.0
2017-05-24,17:39:00,0,3,0.0
2017-05-24,17:39:30,0,4,0.0
2017-05-24,17:40:00,0,4,0.0
2017-05-24,17:40:30,0,5,0.0
2017-05-24,17:41:00,0,5,0.0
2017-05-24,17:41:30,0,6,0.0
2017-05-24,17:42:00,0,6,0.0
2017-05-24,17:42:30,0,7,0.0
2017-05-24,17:43:00,0,7,0.0
2017-05-24,17:43:30,0,1,0.0
2017-05-24,17:44:00,0,1,0.0
2017-05-24,17:44:30,0,2,0.0
